@relation Issues

@attribute Title string
@attribute Body string
@attribute Label {bug,enhancement}

@data
'editors soft wrap render incorrect soft wrap','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description narrow edge case atom github symptom observed arcanemagus https github atom github issuecomment lines diff click diff window initial rendering line wrapping recalculated issue initial width calculation soft wrap https user images githubusercontent 99654d00 bb54 11e8 9a31 f1bc9eedf3b1 gif happening soft texteditor rendered incorrect soft wrap margin width measurement isn update steps reproduce reproduce decorated component update conceals bug manifests soft wrapping enabled core packages create decorations texteditor apm spell check apm git diff create text file soft screen width init script js atom workspace observetexteditors editor editor addgutter repro stylesheet repro width background color grey enable soft wrapping line length texteditors view dev console js atom config set editor softwrap true atom config set editor softwrapatpreferredlinelength false open atom safe mode open file prepared step opened editor pane mouse click trigger expected behavior soft wrap column calculated render accounting width editor clicking position cursor scrolling vertical content alter soft wrap column actual behavior soft wrap column calculated initially accounting width accounted render jank measurement bug https user images githubusercontent 3f0dfb80 bda3 11e8 eafc81bd024a gif reproduces versions atom version atom nightly15 electron chrome node apm version apm npm node x64 atom nightly15 python git additional information',bug
'crash directories invalid','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description attempt open atom directory package json invalid syntax crash error javascript error main process calling line https github atom atom blob e6507c59cb846cd02b84f4a3b10dd43b2572a939 src main process main js steps reproduce save package json invalid syntax trailing open atom window directory invalid package json expected behavior error thrown actual behavior error thrown image https user images githubusercontent a13a9e00 b883 11e8 cbd11cab2912 png window title error main instruction javascript error occurred main process content uncaught exception syntaxerror unexpected token json position json parse anonymous parseobject users lando appdata local atom app nightly9 resources app asar node modules season lib js parsecontentssync users lando appdata local atom app nightly9 resources app asar node modules season lib js object readfilesync users lando appdata local atom app nightly9 resources app asar node modules season lib js isatomrepopath users lando appdata local atom app nightly9 resources app asar src main process main js object anonymous users lando appdata local atom app nightly9 resources app asar src main process main js object anonymous users lando appdata local atom app nightly9 resources app asar src main process main js module compile module js object module extensions js module js module load module js reproduces time versions os windows professional atom nightly9 electron chrome node apm npm node x64 atom nightly9 python git windows visual studio additional information bug introduced https github atom atom',bug
'broken tooltips','description keyboard input impacting teletype git branch menu related https github atom atom https github atom atom steps reproduce install nightly build open git branch menu create branch expected behavior type branch actual behavior type branch disappears reproduces versions information copy pasting output atom version apm version command line include os version os running additional information additional information configuration data reproduce issue',bug
differs,'jasonrudolph 4ffdee199951398f5953fe575dfa3c777e0cdbc0 differ tbaggery guideline 4ffdee199951398f5953fe575dfa3c777e0cdbc0 love 7fce0bba 6e75 0daca6ed4b33 reflowed combined',enhancement
'','ahti march reflowed reflowed reflowing',enhancement
'','ahti march deletion sense reasonable feature',enhancement
reflowing,'slang800 constructor nsync transports reflowed constructor nsync transports great st2 ehuss sublime reflows constructor nsync transports',enhancement
'markdown broken','discuss topic led http discuss atom io selection markdown markdown hyperlinks broken inserting line label link address screen shot pm https cloud githubusercontent assets 1ee3f3ee 0fa3 11e4 8ab3 7907411df46d png issue atom autoflow',bug
'latex broken','fbrundu gif issue reproducible long line latex starts run selection truncated reflown lines tested latex issue affects issue atom autoflow',bug
'autoflow play','archer884 april code diceresult unsigned integers diceresult wraps unsigned integers formatting dice roll results pub struct diceresult vec u32 code select code operation including diceresult unsigned integers diceresult wraps unsigned integers formatting dice roll results pub struct diceresult vec u32 entertainingly operation opted menu issue atom autoflow',bug
'','danbim types ced99d34 1fe8 910e b9e79629aa2a suggest depending',enhancement
'autoreflow account','paulecoffet november autoreflow exemple adipisicing eiusmo tempor incididunt laboreâ 81st adipisicing eiusmo tempor incididunt laboreâ adipisicing eiusmo tempor incididunt laboreâ',enhancement
autoflow,'onury js atom autoflow test autoflow readonly private autolowed js atom autoflow test autoflow readonly private atom v1 mac os issue atom autoflow',bug
'jumbles lines','joallard burodepeper language markdown briefly issue dupe heading empty line gherkin markdown headers text line characters heading put caret invoke alt cmd reflown actual md headers text line characters heading issue atom autoflow',bug
'add support editorconfig','terrycloth march standardizing configurations globbing semantically sense rewrap',enhancement
'symlinks repository diff','lucascosti february read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode http flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide http flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description repo repo repo œâ topics installguide topics topics repo installguide topics repo topics open file directory repo installguide topics git diff line marking file longer works open file repo topics git diff line marking started installed issue directory fine git diff versions os fedora atom version atom electron chrome node apm version apm npm node x64 python git issue atom git diff',bug
'crlf showing commits lf','matthieuheitz file crlfs git files lf type git diff file atom minimap lines properly package lines package lf submitted issue https github atom minimap minimap git diff issues issuecomment issue atom git diff',bug
'provide option eol','lijunle getlinediffs 7c6c2fd5650233d0e5d4bdee80f04f574ed5ff83 repositorygetlinediffspath ignoreeolwhitespace 1f73deb3020b26e8e6578db89ccd76045060bd23 l103',enhancement
'mark covered mark bottom row selected','izuzak gif deleted row shown notice click row upper triangle visible click row triangle longer visible https cloud githubusercontent assets e79a1258 48b1 11e5 9baa 9ee16f9a7dc2 gif atom a87dd05 safe mode osx pager cii issue atom git diff',bug
'diff lines window focus','depthdeluxe minor issue user committed files line diffs updated updating window refocused line commit atom thinks line head refocusing editor issue atom git diff',bug
'icon appears drag','chbk dark ui atom https user images githubusercontent 4957f126 a65d 11e7 92fc576303eb gif tab drop tab place close appears issue atom dark ui',bug
ux,'ux feature negatively impact mind free mind brainstorm improve rfc proposed adjustment feels tedious switcher2 switcher2 chronological discovery people instinctively priority health abandoned maintained health pollute authors authors components components authors great freedom lacks authors',enhancement
'','pedzed nice nice understandably ideal',enhancement
cleanly,'ben3eee april prerequisites reproduce problem safe mode http flight manual atom io hacking atom sections debugging check problem shows safe mode running latest version atom http flight manual atom io hacking atom sections debugging update latest version check debugging guide flight manual atom io hacking atom sections debugging check faqs discuss https discuss atom io faq reporting correct repository https github atom atom blob master contributing md atom packages perform cursory https github issues 3aissue user 3aatom repo 3aatom 2felectron bug enhancement reported information write good bug report https github atom atom blob master contributing md submit good bug report enhancement https github atom atom blob master contributing md submit good enhancement contributing guide description disabling package issues application command palette menu executing opens weird atom file atom hang issue package https github atom view issues steps reproduce open atom restart atom run application command palette menu expected behavior atom core show actual behavior weird file opens atom hang versions windows issue atom',bug
'getenvfromshell newlines correctly','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description user environment newlines atom launched command line environment correctly subprocesses environment newlines occur bash exported steps reproduce end bashrc atom test foo nbar launch atom desktop shell process atom test expected behavior foo bar actual behavior foo reproduces time versions brettle tmp atom version atom electron chrome node brettle tmp apm version apm npm node x64 atom python git brettle tmp uname linux localdomain fc28 x86 smp tue jun x86 x86 x86 gnu linux brettle tmp fedora release fedora release additional information essence problem line https github atom atom blob 5b485dcb4b48386d9480ab45dc389cbcaad3d454 src update process js l110 update process js newlines split result executing command user shell line https github atom atom blob 5b485dcb4b48386d9480ab45dc389cbcaad3d454 src update process js l77 split result executing command awk environ printf environ user shell address newlines case newlines',bug
'double soft wrap','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description haven pin times soft files img width alt duplicate soft wrap indicators src https user images githubusercontent a26383a0 6fdb 11e8 9af0 7549ece3554f png scrolling soft wrap indicators screen scrolling back fixes issue steps reproduce unknown prerequisites include soft wrap file soft vertical scrolling versions information copy pasting output atom version apm version command line include os version os running atom dev 0422e0d61 electron chrome node',bug
'tooltips fade','prerequisites reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description file path hovering tab top click bottom moment keyboard event typing arrow clicks mouse cursor obstructing workspace steps reproduce edit rsese alternate repro steps atom atom atom safe open support md tab file path appears start typing hiding https user images githubusercontent b515ac46 64cb 11e8 84da 59ae97dbf614 gif type workspace mouse wait continue typing moving mouse expected behavior mouse input event keyboard click mouse click actual behavior place move mouse reproduces versions macos sierra atom version atom electron chrome node apm version apm npm node x64 atom python git additional information img width alt atom bug src https user images githubusercontent b2da9cf0 64b9 11e8 9b74 ca57526c636d png',bug
'warn unsupported','engines engines engines engines uzitech engines resubmitted',enhancement
'',term,enhancement
'feature request','5f563d54 82fd 085d85ecfeac',enhancement
'uncaught promise error find module string decoder js','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description github package starts watcher stack trace thrown console uncaught promise error module node modules string decoder index js module resolvefilename module js module resolvefilename temp atom 553dec3e7 atom x64 resources electron asar common reset paths js function module resolvefilename temp atom 553dec3e7 atom x64 resources app src module cache js module require file temp atom 553dec3e7 atom 20x64 resources app asar static index js require internal module js customrequire temp atom 553dec3e7 atom x64 resources app static embedded decoder temp atom 553dec3e7 atom x64 resources app node modules split index js split temp atom 553dec3e7 atom x64 resources app node modules split index js temp atom 553dec3e7 atom x64 resources app node modules status index js promise anonymous parse temp atom 553dec3e7 atom x64 resources app node modules status index js temp atom 553dec3e7 atom x64 resources app node modules github lib git shell strategy js generator anonymous step temp atom 553dec3e7 atom x64 resources app node modules github lib git shell strategy js temp atom 553dec3e7 atom x64 resources app node modules github lib git shell strategy js anonymous steps reproduce enable event github package open folder git repository open console errors fs watcher starts expected behavior expect happen errors actual behavior errors reproduces percentage time reproduce time note github package fs watcher doesn initialize doesn show versions started happening builds https github atom atom commit 553dec3e7a84ccb1965f557a1aad36822025905e windows x64 enterprise macos builds additional information text buffer commit found https github atom text buffer compare v13 v13 commit merging https github atom text buffer introduced cpy direct dependency devdependency package string decoder dependency string decoder tree moved devdependency dependency https github atom text buffer unable test version text buffer npm',bug
'unable set nordic','read atom code conduct filing issue expected comply including treating respect https github atom atom blob master code conduct md question support atom message board place support https discuss atom io prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description atom unable save file file encoding erroneously set nordic windows box atom version x64 set nordic western windows causing atom save file error message string save empty didn atom barfing note problem switching file encodings problem encountered nordic locale steps reproduce open file encoding nordic create file write gibberish save expected behavior expect happen file showing unmodified file cmd line disappear actual behavior file doesn showing unmodified file cmd line edit rsese console error windows error console uncaught promise error invalid encoding iso reproduces percentage time reproduce reproducible versions atom cmd version atom electron chrome node apm cmd version apm npm node x64 atom python git visual studio os windows x64',bug
'dock bug crossing dock drag breaks dock positioning','prerequisites put brackets line reproduced problem safe mode attempted directions enter safe mode attempts worked computer running beta space file atom atom beta errors executing contents macos folder applicable steps debugging guide checked faqs message board common solutions checked issue isn filed found checked atom package functionality description dragging file finder mouse path crosses dock toggle closed left dock tree view pane dock toggle redraw rest window accommodate pop steps reproduce note vertical tree view enabled atom open tree view pane closed open file manager finder left window file file manager finder atom window crosses toggle closed dock expected behavior expect happen file appears tab events triggered actual behavior tree view pane opens rest window redraw accommodate toggling dock moves rest window back dock toggling dock remain open overlaps content window restarting atom reproduces percentage time reproduce occurs dragging dragging window left pressed selected effect versions tested mac beta multiple windows boxes beta older additional information disabled vertical toolbar effect reproducible bottom dock docked toggle mouse event checking event occurred toggle toggle occurring dev console doesn show listeners toggle img width alt dock open src https user images githubusercontent 3346aeac 253a 11e8 8c39 4a33766c80d8 png img width alt dock closed src https user images githubusercontent 353ed798 253a 11e8 83a4 38e266b985b3 png',bug
'atom inappropriately referring test spec','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description excerpt test spec cursor history bug v1 beta3 atom config actual config defined config executed section ocused spec tested wrong condition test executed environment config code check tested throughly lines set config https github atom atom blame master src atom environment js l213 https github atom atom issuecomment javascript fdescribe initial state history console log atom config cursor history columndeltatoremember console log atom config cursor history columndeltatoremember v1 v1 beta3 local config set config console log atom config cursor history columndeltatoremember console log atom config cursor history columndeltatoremember v1 v1 beta3 img width alt src https user images githubusercontent b7526032 11e8 96d5 27eeac7628ef png steps reproduce write test spec explained config atom config editor atomicsofttabs atom config 1st 2nd section test spec expected behavior expect happen test spec executed configuration v1 actual behavior test spec executed config call atom config reproduces percentage time reproduce versions atom beta version atom beta3 electron chrome node atom version atom electron chrome node additional information additional information configuration data reproduce issue',bug
'improve browsers','aggressive wrapâ lengthâ sequences dashes sequences lengthâ eol comâ issuesâ averylongword thatshouldbreak averylongword thatshouldbreak differentiate averylongwordwithnos eparator sequences 785416b2 22c2 d8eefa909d57 averylongword thatsh ouldbreak averylongword thatshouldbreak averylongwordwithnos eparator',enhancement
'atom atom showsavedialogsync doesn result','issue result botched conversion https github atom atom commit bc774773f74557f50fc9b039ec90cdacf9412341 https github atom atom blob 9b733c8c78798b418339cde30c42f056bfe072c0 src atom environment js l1120 l1122 https github atom atom blob 95863010fada6d9a4f3ed6a34a6f1ac606d22229 src atom environment js l1179 l1184 https github atom atom blob 1cd820e25cf7e8f8cb7340de7eacbe93f8a0fff5 src atom environment js l1120 l1122',bug
'main process','prerequisites put brackets line reproduced problem safe mode https flight manual atom io hacking atom sections debugging safe mode applicable steps debugging guide https flight manual atom io hacking atom sections debugging checked faqs message board common solutions https discuss atom io faq checked issue isn filed https github issues utf8 âœ 3aissue user 3aatom checked atom package functionality https atom io packages description color type synced properly main process https github atom atom merged steps reproduce open windows atom v1 beta0 package type color atom material ui open developer tools main window open theme window open atom material ui config colors window watch window fail validate color expected behavior color properly transfers main window actual behavior error thrown error validation failed atom material ui colors abasecolor blue green red coerced color function coerce temp atom src config js function executeschemaenforcers temp atom src config js function coerce temp atom src config js function executeschemaenforcers temp atom src config js function coerce temp atom src config js function executeschemaenforcers temp atom src config js config makevalueconformtoschema temp atom src config js config set temp atom src config js transact temp atom src config js config transact temp atom src config js config resetusersettings temp atom src config js applicationdelegate ondidchangeusersettings temp atom src atom environment js eventemitter outercallback temp atom src application delegate js emitthree events js eventemitter emit events js bug color https github atom atom blob f866978d119e48734c82cad4a685ed7c9261d04f src color js object window emit ed main window problem defined main ters main window left object blue green red color object object isn color object fails enforcer color reproduces time versions started happening version https github atom atom commit e74ea4797521c845f040638d01d41a1677c9ddb8 atom dev e74ea4797 electron chrome node build https github atom atom commit a48624dc0255458a4bd73ffca02a545080a9d34a merged doesn show issue atom dev a48624dc0 electron chrome node os windows x64 additional information originally filed https github atom material atom material ui issues investigation showed bug',bug
